rank_test_score,mean_test_score,mean_train_score,param_logisticregression__C,param_logisticregression__solver,mean_fit_time
1,0.06227091029802513,0.06226751188691446,0.01,newton-cholesky,5.590406847000122
2,0.062249070591016344,0.06226419280172828,0.01,lbfgs,9.954859304428101
3,0.062029564670497625,0.06212311371874711,0.1,lbfgs,9.804382419586181
4,0.06202670659456916,0.062115995234059786,0.1,newton-cholesky,7.159563493728638
5,0.06201746134830699,0.0621157989635557,1.0,newton-cholesky,6.968417739868164
6,0.062014240600387405,0.06211597841259765,10.0,newton-cholesky,6.616484880447388
7,0.06201289834518473,0.062115841246541924,100.0,newton-cholesky,8.354821968078614
8,0.06197481259122158,0.06211699551783746,100.0,lbfgs,10.86993579864502
9,0.061970320175172997,0.06211844676614198,1.0,lbfgs,9.194474840164185
10,0.061963667808316227,0.06211632109492985,10.0,lbfgs,12.563392782211304
